hongchen     was created from 222.35.185.34        (Sun Jul 30 16:24:56 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:02:15 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:02:17 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:02:59 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:03:09 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:03:50 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:04:07 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:04:51 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:04:56 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:05:36 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:06:14 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:06:31 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:06:59 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:07:19 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:08:02 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:08:06 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:08:53 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:09:04 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:09:53 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:09:55 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:10:42 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:10:47 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:11:27 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:11:31 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:12:13 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:12:41 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:13:02 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:13:30 2006)
help         was created from 60.178.53.239        (Sun Aug 13 22:13:46 2006)
yuyan        was created from 60.178.53.239        (Sun Aug 13 22:14:13 2006)
moneyc       was created from 60.178.53.239        (Sun Aug 13 23:52:39 2006)
benk         was created from 222.189.129.229      (Sun Aug 13 23:57:37 2006)
kobebb       was created from 222.189.129.229      (Mon Aug 14 00:46:50 2006)
oioi         was created from 222.189.129.229      (Mon Aug 14 00:55:12 2006)
oioi         was created from 222.189.129.229      (Mon Aug 14 01:09:46 2006)
ppa          was created from 60.178.94.4          (Mon Aug 14 18:51:59 2006)
moneyd       was created from 218.71.166.108       (Mon Aug 14 19:51:51 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 20:29:28 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 20:39:44 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 20:48:52 2006)
camus        was created from 221.7.41.70          (Mon Aug 14 20:51:44 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 20:52:43 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 20:54:09 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 20:55:23 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 20:56:12 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 20:57:31 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 20:58:53 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 20:59:43 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 21:00:41 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 21:01:42 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 21:02:33 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 21:03:28 2006)
sept         was created from 83.202.5.69          (Mon Aug 14 21:04:40 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 21:06:08 2006)
koushui      was created from 222.209.112.189      (Mon Aug 14 21:33:52 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:21:15 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:22:54 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:24:34 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:31:54 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:33:50 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:35:54 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:38:18 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:41:08 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:46:22 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:51:36 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:58:23 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 22:59:29 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:00:59 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:02:44 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:05:31 2006)
wudi         was created from 61.186.167.133       (Mon Aug 14 23:05:58 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:07:53 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:11:08 2006)
taijian      was created from 61.186.167.133       (Mon Aug 14 23:12:00 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:12:25 2006)
lui          was created from 83.202.5.69          (Mon Aug 14 23:12:36 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:14:49 2006)
chateuse     was created from 83.202.5.69          (Mon Aug 14 23:15:23 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:18:40 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:20:14 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:24:29 2006)
mutou        was created from 221.218.221.179      (Mon Aug 14 23:24:42 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:29:10 2006)
mutou        was created from 221.218.221.179      (Mon Aug 14 23:30:43 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:32:14 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:34:49 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:38:58 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:40:43 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:43:40 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:46:14 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:48:10 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:50:44 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:52:46 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:55:15 2006)
elle         was created from 83.202.5.69          (Mon Aug 14 23:56:35 2006)
moneya       was created from 218.71.166.108       (Tue Aug 15 00:09:05 2006)
mingge       was created from 61.184.84.169        (Tue Aug 15 00:28:13 2006)
cyljack      was created from 58.20.79.35          (Tue Aug 15 00:33:33 2006)
tokoa        was created from 125.76.0.86          (Tue Aug 15 01:37:25 2006)
mingzi       was created from 61.184.84.169        (Tue Aug 15 02:58:39 2006)
mingmingming was created from 61.184.84.169        (Tue Aug 15 03:05:59 2006)
money        was created from 218.71.167.233       (Tue Aug 15 08:26:40 2006)
ponpon       was created from 219.132.92.231       (Tue Aug 15 12:34:35 2006)
tianlong     was created from 219.132.92.231       (Tue Aug 15 12:35:59 2006)
ponpon       was created from 219.132.92.231       (Tue Aug 15 12:36:39 2006)
tianlong     was created from 219.132.92.231       (Tue Aug 15 12:37:06 2006)
ponpon       was created from 219.132.92.231       (Tue Aug 15 12:37:37 2006)
tianlong     was created from 219.132.92.231       (Tue Aug 15 12:37:55 2006)
ponpon       was created from 219.132.92.231       (Tue Aug 15 12:38:31 2006)
tianlong     was created from 219.132.92.231       (Tue Aug 15 12:38:57 2006)
jhpker       was created from 219.132.92.231       (Tue Aug 15 12:46:22 2006)
hero         was created from 218.6.241.17         (Tue Aug 15 17:30:13 2006)
hero         was created from 218.6.241.17         (Tue Aug 15 17:39:22 2006)
hero         was created from 218.6.241.17         (Tue Aug 15 17:41:06 2006)
tokob        was created from 61.178.152.99        (Tue Aug 15 17:45:18 2006)
tokoc        was created from 61.178.152.99        (Tue Aug 15 17:49:11 2006)
tokod        was created from 61.178.152.99        (Tue Aug 15 18:23:36 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:26:03 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:40:17 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:42:35 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:43:19 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:44:02 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:44:45 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:45:29 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:46:12 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:46:54 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:47:38 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:48:22 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:49:05 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:49:49 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:50:34 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:51:18 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:52:02 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:52:47 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:53:30 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:54:13 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:54:56 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:55:40 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:56:24 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:57:08 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:57:56 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:58:40 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 19:59:24 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:00:07 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:00:52 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:01:36 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:02:20 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:03:04 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:03:48 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:04:34 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:05:18 2006)
hsb          was created from 58.49.144.241        (Tue Aug 15 20:06:02 2006)
zsklovely    was created from 222.221.250.193      (Tue Aug 15 20:09:38 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:14:27 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:19:20 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:19:58 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:20:34 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:21:10 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:21:51 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:27:43 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:29:28 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:31:06 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:32:31 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:33:20 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:34:05 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:34:56 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:35:44 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:36:49 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:37:45 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:38:37 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:39:39 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:40:24 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:41:09 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:41:48 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:42:34 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:43:52 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:44:36 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:45:13 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:46:05 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:46:42 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:47:35 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:48:12 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:49:09 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:50:14 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:50:54 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:51:55 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:52:39 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:53:32 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:54:15 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:55:05 2006)
paopao       was created from 61.178.152.99        (Tue Aug 15 20:56:02 2006)
gyue         was created from 61.178.152.99        (Tue Aug 15 21:01:14 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:04:34 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:05:19 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:11:19 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:12:04 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:12:49 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:13:35 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:14:18 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:15:02 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:15:47 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:16:34 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:17:22 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:18:06 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:18:49 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:19:32 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:20:17 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:21:00 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:21:46 2006)
marquis      was created from 61.141.188.222       (Tue Aug 15 21:22:01 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:22:29 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:23:12 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:23:56 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:24:40 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:25:24 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:26:13 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:26:56 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:27:41 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:28:29 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:29:15 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:30:03 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:30:48 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:31:31 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:32:14 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:32:58 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:35:26 2006)
beg          was created from 220.166.57.22        (Tue Aug 15 21:35:32 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:36:12 2006)
hsb          was created from 58.49.154.208        (Tue Aug 15 21:36:56 2006)
hushubao     was created from 220.166.57.22        (Tue Aug 15 21:37:45 2006)
hsb          was created from 220.166.57.22        (Tue Aug 15 21:41:02 2006)
hushubao     was created from 220.166.57.22        (Tue Aug 15 21:41:49 2006)
dgz          was created from 58.49.154.208        (Tue Aug 15 22:36:22 2006)
dgzz         was created from 58.49.154.208        (Tue Aug 15 22:54:23 2006)
sunqi        was created from 219.139.38.47        (Tue Aug 15 22:57:05 2006)
dgzzz        was created from 58.49.154.208        (Tue Aug 15 23:00:48 2006)
dgzzzz       was created from 58.49.154.208        (Tue Aug 15 23:06:25 2006)
dgzzzzz      was created from 58.49.154.208        (Tue Aug 15 23:16:17 2006)
uuu          was created from 60.161.76.210        (Tue Aug 15 23:30:53 2006)
pixie        was created from 218.23.85.90         (Wed Aug 16 00:44:48 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:34:45 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:42:54 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:44:12 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:44:50 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:45:34 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:46:10 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:46:55 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:47:31 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:50:48 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:51:26 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:52:12 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:53:00 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:54:29 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:55:20 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:56:01 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:56:51 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:57:36 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:58:37 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 04:59:21 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:00:07 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:00:56 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:01:43 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:02:30 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:03:15 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:04:02 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:04:51 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:05:38 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:06:26 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:07:17 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:08:12 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:09:13 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:10:01 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:10:55 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:11:42 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:12:28 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:13:15 2006)
youdh        was created from 222.182.126.170      (Wed Aug 16 05:13:51 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:25:39 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:26:26 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:27:12 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:28:00 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:28:56 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:29:45 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:30:31 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:31:18 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:32:09 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:32:55 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:33:41 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:34:29 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:35:19 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:36:06 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:36:55 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:37:41 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:38:28 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:39:15 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:40:01 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:40:50 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:41:37 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:42:26 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:43:15 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:44:05 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:45:06 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:46:01 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:46:51 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 09:46:51 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:47:39 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:48:25 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:49:12 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 09:49:34 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:49:57 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:50:43 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:51:34 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:52:21 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:53:08 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:53:57 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:54:43 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:55:29 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:56:19 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:57:14 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:58:01 2006)
papa         was created from 219.129.80.55        (Wed Aug 16 09:58:54 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:00:39 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:02:30 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:04:00 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:05:08 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:08:08 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:09:34 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:10:59 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:12:09 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:13:07 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:14:25 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:15:45 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:17:06 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:18:08 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:19:22 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:20:25 2006)
shen         was created from 60.178.97.233        (Wed Aug 16 11:20:58 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:21:55 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:23:02 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:24:10 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:25:21 2006)
oxxo         was created from 218.6.241.17         (Wed Aug 16 11:26:25 2006)
wew          was created from 61.153.2.6           (Wed Aug 16 11:29:02 2006)
dao          was created from 218.23.85.190        (Wed Aug 16 11:49:16 2006)
ponpon       was created from 219.132.80.227       (Wed Aug 16 12:22:52 2006)
hahaer       was created from 222.212.206.131      (Wed Aug 16 12:33:12 2006)
scut         was created from 58.61.12.210         (Wed Aug 16 12:45:26 2006)
missyou      was created from 61.184.84.169        (Wed Aug 16 12:47:01 2006)
huanmo       was created from 222.213.70.90        (Wed Aug 16 13:28:21 2006)
gizzard      was created from 61.177.143.198       (Wed Aug 16 14:21:10 2006)
gizzard      was created from 61.177.143.198       (Wed Aug 16 14:27:24 2006)
dma          was created from 61.177.143.198       (Wed Aug 16 14:35:18 2006)
dma          was created from 61.177.143.198       (Wed Aug 16 14:37:42 2006)
dma          was created from 61.177.143.198       (Wed Aug 16 14:40:37 2006)
qqqppp       was created from 58.33.234.87         (Wed Aug 16 15:24:27 2006)
gizzard      was created from 61.177.143.198       (Wed Aug 16 15:25:04 2006)
gizzard      was created from 61.177.143.198       (Wed Aug 16 15:26:42 2006)
ztchenj      was created from 58.33.234.87         (Wed Aug 16 15:34:26 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:13:46 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:16:28 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:19:37 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:21:11 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:23:34 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:26:44 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:30:21 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:32:05 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:35:14 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:37:18 2006)
zeelandia    was created from 61.177.143.198       (Wed Aug 16 16:40:11 2006)
liao         was created from 61.49.159.33         (Wed Aug 16 19:02:47 2006)
liao         was created from 61.49.159.33         (Wed Aug 16 19:05:02 2006)
liao         was created from 61.49.159.33         (Wed Aug 16 19:07:45 2006)
danbo        was created from 222.64.152.65        (Wed Aug 16 20:12:54 2006)
youdhh       was created from 222.182.126.170      (Wed Aug 16 22:07:56 2006)
ljl          was created from 59.40.168.181        (Wed Aug 16 22:55:32 2006)
ljl          was created from 59.40.168.181        (Wed Aug 16 23:00:08 2006)
ljl          was created from 59.40.168.181        (Wed Aug 16 23:01:22 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:02:39 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:03:46 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:04:57 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:05:53 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:06:55 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:07:50 2006)
darkice      was created from 59.40.168.181        (Wed Aug 16 23:09:06 2006)
tunss        was created from 59.40.168.181        (Wed Aug 16 23:09:29 2006)
youdh        was created from 222.182.95.96        (Thu Aug 17 01:22:07 2006)
youdh        was created from 222.182.95.96        (Thu Aug 17 01:22:46 2006)
winsh        was created from 220.205.105.99       (Thu Aug 17 01:32:35 2006)
corpse       was created from 202.105.37.76        (Thu Aug 17 02:10:09 2006)
